world_size,mem_mb,time_s
2,1.0,0.00030200481414794923
2,1.0,0.00030217170715332033
2,10.0,0.0026771903038024904
2,10.0,0.0026774048805236817
2,100.0,0.025371098518371583
2,100.0,0.025380313396453857
2,1024.0,0.2497425675392151
2,1024.0,0.24975184202194214
4,1.0,0.0003674149513244629
4,1.0,0.00036798715591430665
4,1.0,0.00036753416061401366
4,1.0,0.00036646127700805663
4,10.0,0.0033850789070129393
4,10.0,0.0033917307853698732
4,10.0,0.0033943891525268556
4,10.0,0.0034016132354736327
4,100.0,0.033602678775787355
4,100.0,0.033610761165618896
4,100.0,0.03360316753387451
4,100.0,0.03360284566879272
4,1024.0,0.34254305362701415
4,1024.0,0.34252578020095825
4,1024.0,0.34253708124160764
4,1024.0,0.3425369620323181
6,1.0,0.0011677742004394531
6,1.0,0.0011685967445373535
6,1.0,0.001167738437652588
6,1.0,0.001168215274810791
6,1.0,0.001166999340057373
6,1.0,0.0011668443679809571
6,10.0,0.006481266021728516
6,10.0,0.006477880477905274
6,10.0,0.00647737979888916
6,10.0,0.006478714942932129
6,10.0,0.00647883415222168
6,10.0,0.0064781785011291506
6,100.0,0.06132349967956543
6,100.0,0.061326587200164796
6,100.0,0.061328673362731935
6,100.0,0.06132794618606567
6,100.0,0.06132718324661255
6,100.0,0.061330199241638184
6,1024.0,0.6220189571380615
6,1024.0,0.6220131278038025
6,1024.0,0.6220241546630859
6,1024.0,0.6220173239707947
6,1024.0,0.6220158696174621
6,1024.0,0.6220332860946656
